t,S,I,R
602,259891,1,0
603,259891,1,0
604,259891,1,0
605,259891,1,0
606,259891,1,0
607,259891,1,0
608,259891,1,0
609,259891,1,0
610,259891,1,0
611,259891,1,0
612,259891,1,0
613,259891,1,0
614,259891,1,0
615,259891,1,0
616,259891,1,0
617,259891,1,0
618,259891,1,0
619,259891,1,0
620,259891,1,0
621,259891,1,0
622,259891,1,0
623,259891,1,0
624,259891,1,0
625,259891,1,0
626,259891,1,0
627,259891,1,0
628,259891,1,0
629,259891,1,0
630,259891,1,0
631,259891,1,0
632,259891,1,0
633,259891,1,0
634,259891,1,0
635,259891,1,0
636,259891,1,0
637,259891,1,0
638,259891,1,0
639,259891,1,0
640,259891,1,0
641,259891,1,0
642,259891,1,0
643,259891,1,0
644,259891,1,0
645,259891,1,0
646,259891,1,0
647,259891,1,0
648,259891,1,0
649,259891,1,0
650,259891,1,0
651,259891,1,0
652,259891,1,0
653,259891,1,0
654,259891,1,0
655,259891,1,0
656,259891,1,0
657,259891,1,0
658,259891,1,0
659,259891,1,0
660,259891,1,0
661,259891,1,0
662,259891,1,0
663,259891,1,0
664,259891,1,0
665,259891,1,0
666,259891,1,0
667,259891,1,0
668,259891,1,0
669,259891,1,0
670,259891,1,0
671,259891,1,0
672,259891,1,0
673,259891,1,0
674,259891,1,0
675,259891,1,0
676,259891,1,0
677,259891,1,0
678,259891,1,0
679,259891,1,0
680,259891,1,0
681,259891,1,0
682,259891,1,0
683,259891,1,0
684,259891,1,0
685,259891,1,0
686,259891,1,0
687,259891,1,0
688,259891,1,0
689,259891,1,0
690,259891,1,0
691,259891,1,0
692,259891,1,0
693,259891,1,0
694,259891,1,0
695,259891,1,0
696,259891,1,0
697,259891,1,0
698,259891,1,0
699,259891,1,0
700,259891,1,0
701,259891,1,0
702,259891,1,0
703,259891,1,0
704,259891,1,0
705,259891,1,0
706,259891,1,0
707,259891,1,0
708,259891,1,0
709,259891,1,0
710,259891,1,0
711,259891,1,0
712,259891,1,0
713,259891,1,0
714,259891,1,0
715,259891,1,0
716,259891,1,0
717,259891,1,0
718,259891,1,0
719,259891,1,0
720,259891,1,0
721,259891,1,0
722,259891,1,0
723,259891,1,0
724,259891,1,0
725,259891,1,0
726,259891,1,0
727,259891,1,0
728,259891,1,0
729,259891,1,0
730,259891,1,0
731,259891,1,0
732,259891,1,0
733,259891,1,0
734,259891,1,0
735,259891,1,0
736,259891,1,0
737,259891,1,0
738,259891,1,0
739,259891,1,0
740,259891,1,0
741,259891,1,0
742,259891,1,0
743,259891,1,0
744,259891,1,0
745,259891,1,0
746,259891,1,0
747,259891,1,0
748,259891,1,0
749,259891,1,0
750,259891,1,0
751,259891,1,0
752,259891,1,0
753,259891,1,0
754,259891,1,0
755,259891,1,0
756,259891,1,0
757,259891,1,0
758,259891,1,0
759,259891,1,0
760,259891,1,0
761,259891,1,0
762,259891,1,0
763,259891,1,0
764,259891,1,0
765,259891,1,0
766,259891,1,0
767,259891,1,0
768,259891,1,0
769,259891,1,0
770,259891,1,0
771,259891,1,0
772,259891,1,0
773,259891,1,0
774,259891,1,0
775,259891,1,0
776,259891,1,0
777,259891,1,0
778,259891,1,0
779,259891,1,0
780,259891,1,0
781,259891,1,0
782,259891,1,0
783,259891,1,0
784,259891,1,0
785,259891,1,0
786,259891,1,0
787,259891,1,0
788,259891,1,0
789,259891,1,0
790,259891,1,0
791,259891,1,0
792,259891,1,0
793,259891,1,0
794,259891,1,0
795,259891,1,0
796,259891,1,0
797,259891,1,0
798,259891,1,0
799,259891,1,0
800,259891,1,0
801,259891,1,0
802,259891,1,0
803,259891,2,0
804,259890,2,0
805,259890,2,0
806,259890,2,0
807,259890,2,0
808,259890,2,0
809,259890,2,0
810,259890,2,0
811,259890,2,0
812,259890,2,0
813,259890,2,0
814,259890,2,0
815,259890,2,0
816,259890,2,0
817,259890,2,0
818,259890,2,0
819,259890,2,0
820,259890,2,0
821,259890,2,0
822,259890,2,0
823,259890,2,0
824,259890,2,0
825,259890,2,0
826,259890,2,0
827,259890,2,0
828,259890,2,0
829,259890,2,0
830,259890,2,0
831,259890,2,0
832,259890,2,0
833,259890,2,0
834,259890,2,0
835,259890,2,0
836,259890,2,0
837,259890,2,0
838,259890,2,0
839,259890,2,0
840,259890,2,0
841,259890,2,0
842,259890,2,0
843,259890,2,0
844,259890,2,0
845,259890,2,0
846,259890,2,0
847,259890,2,0
848,259890,2,0
849,259890,2,0
850,259890,2,0
851,259890,2,0
852,259890,2,0
853,259890,2,0
854,259890,2,0
855,259890,2,0
856,259890,2,0
857,259890,2,0
858,259890,2,0
859,259890,2,0
860,259890,2,0
861,259890,2,0
862,259890,2,0
863,259890,2,0
864,259890,2,0
865,259890,2,0
866,259890,2,0
867,259890,2,0
868,259890,2,0
869,259890,2,0
870,259890,2,0
871,259890,2,0
872,259890,2,0
873,259890,2,0
874,259890,2,0
875,259890,2,0
876,259890,2,0
877,259890,2,0
878,259890,2,0
879,259890,2,0
880,259890,2,0
881,259890,2,0
882,259890,2,0
883,259890,2,0
884,259890,2,0
885,259890,2,0
886,259890,2,0
887,259890,2,0
888,259890,2,0
889,259890,2,0
890,259890,2,0
891,259890,2,0
892,259890,2,0
893,259890,2,0
894,259890,2,0
895,259890,2,0
896,259890,2,0
897,259890,2,0
898,259890,2,0
899,259890,2,0
900,259890,2,0
901,259890,2,0
902,259890,2,0
903,259890,2,0
904,259890,2,0
905,259890,2,0
906,259890,2,0
907,259890,2,0
908,259890,2,0
909,259890,2,0
910,259890,2,0
911,259890,2,0
912,259890,2,0
913,259890,2,0
914,259890,2,0
915,259890,2,0
916,259890,2,0
917,259890,2,0
918,259890,2,0
919,259890,2,0
920,259890,2,0
921,259890,2,0
922,259890,2,0
923,259890,2,0
924,259890,2,0
925,259890,2,0
926,259890,2,0
927,259890,2,0
928,259890,2,0
929,259890,2,0
930,259890,2,0
931,259890,2,0
932,259890,2,0
933,259890,2,0
934,259890,2,0
935,259890,2,0
936,259890,2,0
937,259890,2,0
938,259890,2,0
939,259890,2,0
940,259890,2,0
941,259890,2,0
942,259890,2,0
943,259890,2,0
944,259890,2,0
945,259890,2,0
946,259890,2,0
947,259890,2,0
948,259890,2,0
949,259890,2,0
950,259890,2,0
951,259890,2,0
952,259890,2,0
953,259890,2,0
954,259890,2,0
955,259890,2,0
956,259890,2,0
957,259890,2,0
958,259890,2,0
959,259890,2,0
960,259890,2,0
961,259890,2,0
962,259890,2,0
963,259890,2,0
964,259890,2,0
965,259890,2,0
966,259890,2,0
967,259890,2,0
968,259890,2,0
969,259890,2,0
970,259890,2,0
971,259890,2,0
972,259890,2,0
973,259890,2,0
974,259890,2,0
975,259890,2,0
976,259890,2,0
977,259890,2,0
978,259890,2,0
979,259890,2,0
980,259890,2,0
981,259890,2,0
982,259890,2,0
983,259890,2,0
984,259890,2,0
985,259890,2,0
986,259890,2,0
987,259890,2,0
988,259890,2,0
989,259890,2,0
990,259890,2,0
991,259890,2,0
992,259890,2,0
993,259890,2,0
994,259890,2,0
995,259890,2,0
996,259890,2,0
997,259890,2,0
998,259890,2,0
999,259890,2,0
1000,259890,2,0
1001,259890,2,0
1002,259890,2,0
1003,259890,2,0
1004,259890,2,0
1005,259890,2,0
1006,259890,2,0
1007,259890,2,0
1008,259890,2,0
1009,259890,2,0
1010,259890,2,0
1011,259890,2,0
1012,259890,2,0
1013,259890,2,0
1014,259890,2,0
1015,259890,2,0
1016,259890,2,0
1017,259890,2,0
1018,259890,2,0
1019,259890,2,0
1020,259890,2,0
1021,259890,2,0
1022,259890,2,0
1023,259890,2,0
1024,259890,2,0
1025,259890,2,0
1026,259890,2,0
1027,259890,2,0
1028,259890,2,0
1029,259890,2,0
1030,259890,2,0
1031,259890,2,0
1032,259890,2,0
1033,259890,2,0
1034,259890,2,0
1035,259890,2,0
1036,259890,2,0
1037,259890,2,0
1038,259890,2,0
1039,259890,2,0
1040,259890,2,0
1041,259890,2,0
1042,259890,2,0
1043,259890,2,0
1044,259890,2,0
1045,259890,2,0
1046,259890,2,0
1047,259890,2,0
1048,259890,2,0
1049,259890,2,0
1050,259890,2,0
1051,259890,2,0
1052,259890,2,0
1053,259890,2,0
1054,259890,2,0
1055,259890,2,0
1056,259890,2,0
1057,259890,2,0
1058,259890,2,0
1059,259890,2,0
1060,259890,2,0
1061,259890,2,0
1062,259890,2,0
1063,259890,2,0
1064,259890,2,0
1065,259890,2,0
1066,259890,2,0
1067,259890,2,0
1068,259890,2,0
1069,259890,2,0
1070,259890,2,0
1071,259890,2,0
1072,259890,2,0
1073,259890,2,0
1074,259890,2,0
1075,259890,2,0
1076,259890,2,0
1077,259890,2,0
1078,259890,2,0
1079,259890,2,0
1080,259890,2,0
1081,259890,2,0
1082,259890,2,0
1083,259890,2,0
1084,259890,2,0
1085,259890,2,0
1086,259890,2,0
1087,259890,2,0
