Country	Year	Animal	SampleOrigin	Pathogen	Species	Nsamples	Compound	Rescom
Czech_Republic	2016	Turkey	Killed_Animal	Salmonella	Kentucky	1	AMP	100
Czech_Republic	2016	Turkey	Killed_Animal	Salmonella	Kentucky	1	CIP	100
Czech_Republic	2016	Turkey	Killed_Animal	Salmonella	Kentucky	1	GEN	100
Czech_Republic	2016	Turkey	Killed_Animal	Salmonella	Kentucky	1	NAL	100
Czech_Republic	2016	Turkey	Killed_Animal	Salmonella	Kentucky	1	SMZ	100
Czech_Republic	2016	Turkey	Killed_Animal	Salmonella	Kentucky	1	TET	100
Germany	2016	Turkey	Killed_Animal	Salmonella	Kentucky	2	AMP	100
Germany	2016	Turkey	Killed_Animal	Salmonella	Kentucky	2	CIP	100
Germany	2016	Turkey	Killed_Animal	Salmonella	Kentucky	2	GEN	100
Germany	2016	Turkey	Killed_Animal	Salmonella	Kentucky	2	NAL	100
Germany	2016	Turkey	Killed_Animal	Salmonella	Kentucky	2	SMZ	100
Germany	2016	Turkey	Killed_Animal	Salmonella	Kentucky	2	TET	100
Hungary	2016	Turkey	Killed_Animal	Salmonella	Kentucky	4	AMP	100
Hungary	2016	Turkey	Killed_Animal	Salmonella	Kentucky	4	NAL	100
Poland	2016	Turkey	Killed_Animal	Salmonella	Kentucky	1	AMP	100
Poland	2016	Turkey	Killed_Animal	Salmonella	Kentucky	1	CIP	100
Poland	2016	Turkey	Killed_Animal	Salmonella	Kentucky	1	NAL	100
Slovakia	2016	Turkey	Killed_Animal	Salmonella	Kentucky	2	CIP	100
Slovakia	2016	Turkey	Killed_Animal	Salmonella	Kentucky	2	NAL	100
Spain	2016	Turkey	Killed_Animal	Salmonella	Kentucky	4	AMP	100
Spain	2016	Turkey	Killed_Animal	Salmonella	Kentucky	4	CIP	100
Spain	2016	Turkey	Killed_Animal	Salmonella	Kentucky	4	GEN	100
Spain	2016	Turkey	Killed_Animal	Salmonella	Kentucky	4	NAL	100
Spain	2016	Turkey	Killed_Animal	Salmonella	Kentucky	4	SMZ	100
Spain	2016	Turkey	Killed_Animal	Salmonella	Kentucky	4	TET	100
Total	2016	Turkey	Killed_Animal	Salmonella	Kentucky	14	CIP	100
Total	2016	Turkey	Killed_Animal	Salmonella	Kentucky	14	NAL	100
Hungary	2016	Turkey	Killed_Animal	Salmonella	Infantis	6	CIP	100
Hungary	2016	Turkey	Killed_Animal	Salmonella	Infantis	6	NAL	100
Hungary	2016	Turkey	Killed_Animal	Salmonella	Infantis	6	SMZ	100
Hungary	2016	Turkey	Killed_Animal	Salmonella	Infantis	6	TET	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Newport	2	AMP	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Newport	2	CIP	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Newport	2	NAL	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Newport	2	TET	100
Germany	2016	Turkey	Killed_Animal	Salmonella	Newport	1	AMP	100
Germany	2016	Turkey	Killed_Animal	Salmonella	Newport	1	CIP	100
Germany	2016	Turkey	Killed_Animal	Salmonella	Newport	1	NAL	100
Germany	2016	Turkey	Killed_Animal	Salmonella	Newport	1	TET	100
Hungary	2016	Turkey	Killed_Animal	Salmonella	Newport	7	AMP	100
Hungary	2016	Turkey	Killed_Animal	Salmonella	Newport	7	CIP	100
Hungary	2016	Turkey	Killed_Animal	Salmonella	Newport	7	TET	100
